pred_window,train_window,mean_erro_eucl_mm,RMSE_mm,MAE_X,MAE_Y,train_time_ms,test_time_ms
10,10,11.558,57.653,0.695,0.633,7.592,0.122
10,15,16.443,90.414,0.765,0.52,9.369,0.121
10,30,4.166,15.133,0.096,0.071,17.685,0.22
10,60,1.505,2.23,0.016,0.015,24.311,0.226
15,10,10.804,47.109,0.506,0.685,12.348,0.143
15,15,9.106,39.405,0.364,0.377,15.563,0.169
15,30,7.741,38.364,0.089,0.203,26.434,0.229
15,60,1.628,2.459,0.018,0.016,74.206,0.313
20,10,12.134,45.641,0.74,0.637,25.147,0.24
20,15,6.408,19.743,0.249,0.248,29.381,0.268
20,30,7.244,30.454,0.136,0.155,47.674,0.315
20,60,2.244,3.984,0.023,0.023,84.438,0.345
25,10,23.531,122.17,1.498,1.209,34.762,0.251
25,15,17.602,90.148,0.716,0.672,39.885,0.277
25,30,6.878,27.204,0.133,0.14,55.619,0.324
25,60,2.526,8.294,0.028,0.025,101.964,0.32
30,10,35.588,204.176,1.813,2.086,49.344,0.293
30,15,34.591,305.476,1.192,1.543,55.391,0.312
30,30,7.618,34.712,0.109,0.19,74.811,0.33
30,60,3.82,11.858,0.043,0.035,131.983,0.338
